
031-3,212,300,0	warp	To Nivalis Port	0,0,031-1,76,25
031-3,205,264,0	warp	To Ice Labyrinth	0,0,031-3,150,260
031-3,149,259,0	warp	To Ice Labyrinth	0,0,031-3,206,265
031-3,225,282,0	warp	To Ice Labyrinth	0,0,031-3,274,299
031-3,274,300,0	warp	To Ice Labyrinth	0,0,031-3,225,283
031-3,283,271,0	warp	To Ice Labyrinth	0,0,031-3,269,244
031-3,269,245,0	warp	To Ice Labyrinth	0,0,031-3,283,272
031-3,148,150,0	warp	To Ice Labyrinth	0,0,031-3,128,134
031-3,139,258,0	warp	To Ice Labyrinth	0,0,031-3,156,196
031-3,155,195,0	warp	To Ice Labyrinth	0,0,031-3,139,259
031-3,142,301,0	warp	To Ice Labyrinth	0,0,031-3,98,300
031-3,97,301,0	warp	To Ice Labyrinth	0,0,031-3,143,300
031-3,135,196,0	warp	To Ice Labyrinth	0,0,031-3,106,231
031-3,106,232,0	warp	To Ice Labyrinth	0,0,031-3,135,197
031-3,286,190,0	warp	To Ice Labyrinth	0,0,031-3,227,241
031-3,227,242,0	warp	To Ice Labyrinth	0,0,031-3,286,191
031-3,236,211,0	warp	To Ice Labyrinth	0,0,031-3,187,227
031-3,187,228,0	warp	To Ice Labyrinth	0,0,031-3,236,212
031-3,94,254,0	warp	To Ice Labyrinth	0,0,031-3,54,251
031-3,54,250,0	warp	To Ice Labyrinth	0,0,031-3,94,255
031-3,103,199,0	warp	To Ice Labyrinth	0,0,031-3,52,176
031-3,52,177,0	warp	To Ice Labyrinth	0,0,031-3,103,200
031-3,212,193,0	warp	To Ice Labyrinth	0,0,031-3,207,167
031-3,207,168,0	warp	To Ice Labyrinth	0,0,031-3,212,194
031-3,235,167,0	warp	To Ice Labyrinth	0,0,031-3,195,123
031-3,195,122,0	warp	To Ice Labyrinth	0,0,031-3,235,166
031-3,296,97,0	warp	To Ice Labyrinth	0,0,031-3,292,124
031-3,292,123,0	warp	To Ice Labyrinth	0,0,031-3,296,96
031-3,289,164,0	warp	To Ice Labyrinth	0,0,031-3,228,122
031-3,228,121,0	warp	To Ice Labyrinth	0,0,031-3,289,163
031-3,24,157,0	warp	To Ice Labyrinth	0,0,031-3,31,143
031-3,31,144,0	warp	To Ice Labyrinth	0,0,031-3,24,158
031-3,36,249,0	warp	To Ice Labyrinth	0,0,031-3,35,225
031-3,35,226,0	warp	To Ice Labyrinth	0,0,031-3,36,250
031-3,34,25,0	warp	To Ice Labyrinth	0,0,031-3,281,24
031-3,281,22,0	warp	To Ice Labyrinth	0,0,031-3,34,27
031-3,283,48,0	warp	To Ice Labyrinth	0,0,031-3,275,74
031-3,275,73,0	warp	To Ice Labyrinth	0,0,031-3,283,47
031-3,26,178,0	warp	To Ice Labyrinth	0,0,031-3,36,201
031-3,36,200,0	warp	To Ice Labyrinth	0,0,031-3,26,177
031-3,91,125,0	warp	To Ice Labyrinth	0,0,031-3,36,79
031-3,36,80,0	warp	To Ice Labyrinth	0,0,031-3,91,126
031-3,52,78,0	warp	To Ice Labyrinth	0,0,031-3,192,71
031-3,192,70,0	warp	To Ice Labyrinth	0,0,031-3,52,77
031-3,128,135,0	warp	To Ice Labyrinth	0,0,031-3,148,151
031-3,232,93,0	warp	To Ice Labyrinth	0,0,031-3,234,26
031-3,234,25,0	warp	To Ice Labyrinth	0,0,031-3,232,92
031-3,200,50,0	warp	To Ice Labyrinth	0,0,031-3,136,30
031-3,136,29,0	warp	To Ice Labyrinth	0,0,031-3,200,49
